canonical_question_id,examiner,tier
QB10_A#q1,Nair,inferred
QB10_A#q2,Nair,inferred
QB10_A#q3,Nair,inferred
QB10_A#q4,Nair,inferred
QB10_A#q5,Nair,inferred
QB1_C#q4,Nair,inferred
QB1_H#q3,Nair,inferred
QB1_H#q4,Nair,inferred
QB1_H#q5,Nair,inferred
QB1_supplementary#q1,Nair,inferred
QB1_supplementary#q10,Nair,inferred
QB1_supplementary#q11,Nair,inferred
QB1_supplementary#q12,Nair,inferred
QB1_supplementary#q13,Nair,inferred
QB1_supplementary#q14,Nair,inferred
QB1_supplementary#q15,Nair,inferred
QB1_supplementary#q16,Nair,inferred
QB1_supplementary#q17,Nair,inferred
QB1_supplementary#q18,Nair,inferred
QB1_supplementary#q19,Nair,inferred
QB1_supplementary#q2,Nair,inferred
QB1_supplementary#q20,Nair,inferred
QB1_supplementary#q3,Nair,inferred
QB1_supplementary#q5,Nair,inferred
QB1_supplementary#q7,Nair,inferred
QB1_supplementary#q8,Nair,inferred
QB1_supplementary#q9,Nair,inferred
QB3_A#q1,Nair,inferred
QB3_A#q12,Nair,inferred
QB3_A#q14,Nair,inferred
QB3_A#q16,Nair,inferred
QB3_A#q17,Nair,inferred
QB3_A#q2,Nair,inferred
QB3_A#q4,Nair,inferred
QB3_A#q6,Nair,inferred
QB3_A#q7,Nair,inferred
QB3_A#q9,Nair,inferred
QB3_B#q1,Nair,inferred
QB3_B#q10,Nair,inferred
QB3_B#q12,Nair,inferred
QB3_B#q17,Nair,inferred
QB3_B#q19,Nair,inferred
QB3_B#q2,Nair,inferred
QB3_B#q3,Nair,inferred
QB3_B#q4,Nair,inferred
QB3_B#q5,Nair,inferred
QB3_B#q6,Nair,inferred
QB3_B#q7,Nair,inferred
QB3_B#q8,Nair,inferred
QB3_B#q9,Nair,inferred
QB3_C#q4,Nair,inferred
QB3_F#q1,Nair,inferred
QB3_F#q3,Nair,inferred
QB3_F#q4,Nair,inferred
QB3_G#q3,Nair,inferred
QB3_G#q4,Nair,inferred
QB4_A#q1,Nair,inferred
QB4_A#q11,Nair,inferred
QB4_A#q12,Nair,inferred
QB4_A#q13,Nair,inferred
QB4_A#q14,Nair,inferred
QB4_A#q15,Nair,inferred
QB4_A#q16,Nair,inferred
QB4_A#q18,Nair,inferred
QB4_A#q2,Nair,inferred
QB4_A#q3,Nair,inferred
QB4_A#q6,Nair,inferred
QB4_A#q7,Nair,inferred
QB4_A#q8,Nair,inferred
QB4_B#q10,Nair,inferred
QB4_B#q11,Nair,inferred
QB4_B#q14,Nair,inferred
QB4_B#q16,Nair,inferred
QB4_B#q2,Nair,inferred
QB4_B#q4,Nair,inferred
QB4_B#q5,Nair,inferred
QB4_B#q6,Nair,inferred
QB4_B#q7,Nair,inferred
QB4_B#q9,Nair,inferred
QB4_G#q1,Nair,inferred
QB4_G#q3,Nair,inferred
QB4_G#q8,Nair,inferred
QB4_G#q9,Nair,inferred
QB4_H#q10,Nair,inferred
QB4_H#q11,Nair,inferred
QB4_H#q2,Nair,inferred
QB4_H#q3,Nair,inferred
QB4_H#q4,Nair,inferred
QB4_H#q5,Nair,inferred
QB4_H#q6,Nair,inferred
QB4_H#q7,Nair,inferred
QB4_H#q8,Nair,inferred
QB4_H#q9,Nair,inferred
QB7_C#q1,Nair,inferred
QB7_E#q4,Nair,inferred
QB7_F#q1,Nair,inferred
QB9_A#q1,Nair,inferred
QB9_A#q2,Nair,inferred
QB9_A#q5,Nair,inferred
QB9_A#q6,Nair,inferred
QB9_A#q7,Nair,inferred
QB9_B#q1,Nair,inferred
QB9_B#q5,Nair,inferred
QB9_E#q1,Nair,inferred
QB9_E#q10,Nair,inferred
QB9_E#q12,Nair,inferred
QB9_E#q3,Nair,inferred
QB9_E#q5,Nair,inferred
QB9_E#q7,Nair,inferred
QB9_E#q8,Nair,inferred
QB9_F#q10,Nair,inferred
QB9_F#q11,Nair,inferred
QB9_F#q2,Nair,inferred
QB9_F#q3,Nair,inferred
QB9_F#q4,Nair,inferred
QB9_F#q5,Nair,inferred
QB9_F#q6,Nair,inferred
QB9_F#q8,Nair,inferred
QB9_F#q9,Nair,inferred
QB9_H#q2,Nair,inferred
QB9_H#q4,Nair,inferred
QB9_H#q8,Nair,inferred
QB9_H#q10,Paul,inferred
QB1_C#q4,Rajappan,inferred
QB1_H#q1,Rajappan,inferred
QB1_H#q2,Rajappan,inferred
QB1_H#q3,Rajappan,inferred
QB1_H#q4,Rajappan,inferred
QB1_H#q5,Rajappan,inferred
QB1_supplementary#q1,Rajappan,inferred
QB1_supplementary#q10,Rajappan,inferred
QB1_supplementary#q11,Rajappan,inferred
QB1_supplementary#q12,Rajappan,inferred
QB1_supplementary#q13,Rajappan,inferred
QB1_supplementary#q14,Rajappan,inferred
QB1_supplementary#q15,Rajappan,inferred
QB1_supplementary#q16,Rajappan,inferred
QB1_supplementary#q17,Rajappan,inferred
QB1_supplementary#q18,Rajappan,inferred
QB1_supplementary#q19,Rajappan,inferred
QB1_supplementary#q2,Rajappan,inferred
QB1_supplementary#q20,Rajappan,inferred
QB1_supplementary#q3,Rajappan,inferred
QB1_supplementary#q5,Rajappan,inferred
QB1_supplementary#q7,Rajappan,inferred
QB1_supplementary#q8,Rajappan,inferred
QB1_supplementary#q9,Rajappan,inferred
