canonical_question_id,url,examiner,in_ce_tip_block,assertive_phrasing,hedged_illustrative,comparative_phrasing,strength,already_in_index,context,question_text
QB10_A#q1,/meoclass1/QB10_A.html#q1,Nair,True,True,False,True,WEAK_COMPARATIVE_MENTION,True,"aintenance/risk assessment ISO 8217 Marine fuel specifications CE Oral Tip: State engine model and TEU capacity confidently rather than just 'container ship' — Nair typically follows up on torsional stress, reefer load calculation or electronic-engine troubleshooting. Deep-Dive: CE Relevance, Traps,",Describe the type of vessel you have sailed on and its key engineering features.
QB10_A#q2,/meoclass1/QB10_A.html#q2,Rajappan,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"ility SOLAS Ch.VI Carriage of cargoes — stowage/securing ILO Convention 152 Lifting-gear testing/certification CSS Code Cargo stowage and securing CE Oral Tip: Rajappan tests crane safety devices, hydraulic-oil water-contamination checks, and anti-heeling pump failure response during a heavy lift — ",If asked about general cargo/multi-purpose vessels: describe their key engineering and stability features.
QB10_A#q3,/meoclass1/QB10_A.html#q3,Rajappan,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"— historically, lack of deep-draft ports forced transshipment via Colombo/Singapore, adding cost/legal exposure that Sagarmala aims to resolve. Examiner Chain: Rajappan values policy awareness tied to local hubs — expect a follow-up connecting Sagarmala to Vallarpadam ICTT or Vizhinjam port expansio",Explain the Sagarmala Programme in detail.
QB10_A#q4,/meoclass1/QB10_A.html#q4,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,True,"Safety for gas/low-flashpoint fuels MARPOL Annex VI Reg.26/28 SEEMP Part III data verification IMO Res. MSC.428(98) Maritime cyber risk management CE Oral Tip: Nair tests whether you understand the mechanics, not just the buzzwords — be ready to explain a methanol fuel-changeover fault sequence or h",Describe the latest technology deployed on your vessel.
QB10_A#q5,/meoclass1/QB10_A.html#q5,Rajappan,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"ial incidents (e.g. toxic vapour exposure during ammonia transfer trials) underscore why Amrit Kaal prioritises specialised workforce training. Examiner Chain: Rajappan tests current-affairs awareness — expect a request to distinguish this from Maritime India Vision 2030, then a follow-up on shipboa",Explain the Maritime Amrit Kaal Vision 2047.
QB10_A#q6,/meoclass1/QB10_A.html#q6,Simon,True,False,False,True,WEAK_COMPARATIVE_MENTION,True,"use BIMCO Bunker Quality Control Clause Shipboard responsibilities for off-spec fuel ISO 8217 (latest edition) Marine fuel specification standard CE Oral Tip: Simon uses this as a broad commercial-awareness check on tankers/general cargo. State the live geopolitical driver (Hormuz disruption, UAE's ",What is the latest development in OPEC and how does it affect shipping?
QB10_B#q1,/meoclass1/QB10_B.html#q1,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"SC — IGC/IGF Code amendments ""One ship, one code"" alignment for gas-fuelled ships — expected eff. 1 Jul 2028, pending MSC 112 adoption (Dec 2026). CE Oral Tip: Nair will test whether you know it's now past the 2026 entry-into-force date and can quote at least two MSC resolution numbers verbatim — PF",Give a consolidated overview of SOLAS and MARPOL amendments entering into force from 2024 through 2028.
QB10_B#q1,/meoclass1/QB10_B.html#q1,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"date and can quote at least two MSC resolution numbers verbatim — PFOS ban (MSC.532(107)) and the fire safety upgrade (MSC.550(108)) are the two he asks most. Simon will pivot straight to what applies to YOUR ship: as a container vessel ≥3,000 GT, lead with the electronic inclinometer requirement (S",Give a consolidated overview of SOLAS and MARPOL amendments entering into force from 2024 through 2028.
QB10_B#q2,/meoclass1/QB10_B.html#q2,Nair,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"ft guidelines Generic alternative-fuel training base (MSC 110); methanol/ethanol & ammonia draft interim guidelines sent to MSC 111 (May 2026). CE Oral Tip: If Nair or Senthil asks ""what's new in STCW,"" lead with SASH — it's the one that's actually in force and testable right now. If pressed on ""wha","What STCW amendments are currently in force or coming, and why were they introduced?"
QB10_B#q2,/meoclass1/QB10_B.html#q2,Senthil,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"lines Generic alternative-fuel training base (MSC 110); methanol/ethanol & ammonia draft interim guidelines sent to MSC 111 (May 2026). CE Oral Tip: If Nair or Senthil asks ""what's new in STCW,"" lead with SASH — it's the one that's actually in force and testable right now. If pressed on ""what's comi","What STCW amendments are currently in force or coming, and why were they introduced?"
