canonical_question_id,url,examiner,in_ce_tip_block,assertive_phrasing,hedged_illustrative,comparative_phrasing,strength,already_in_index,context,question_text
QB10_A#q2,/meoclass1/QB10_A.html#q2,Rajappan,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"ility SOLAS Ch.VI Carriage of cargoes — stowage/securing ILO Convention 152 Lifting-gear testing/certification CSS Code Cargo stowage and securing CE Oral Tip: Rajappan tests crane safety devices, hydraulic-oil water-contamination checks, and anti-heeling pump failure response during a heavy lift — ",If asked about general cargo/multi-purpose vessels: describe their key engineering and stability features.
QB10_A#q3,/meoclass1/QB10_A.html#q3,Rajappan,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"— historically, lack of deep-draft ports forced transshipment via Colombo/Singapore, adding cost/legal exposure that Sagarmala aims to resolve. Examiner Chain: Rajappan values policy awareness tied to local hubs — expect a follow-up connecting Sagarmala to Vallarpadam ICTT or Vizhinjam port expansio",Explain the Sagarmala Programme in detail.
QB10_A#q5,/meoclass1/QB10_A.html#q5,Rajappan,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"ial incidents (e.g. toxic vapour exposure during ammonia transfer trials) underscore why Amrit Kaal prioritises specialised workforce training. Examiner Chain: Rajappan tests current-affairs awareness — expect a request to distinguish this from Maritime India Vision 2030, then a follow-up on shipboa",Explain the Maritime Amrit Kaal Vision 2047.
QB10_B#q1,/meoclass1/QB10_B.html#q1,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"SC — IGC/IGF Code amendments ""One ship, one code"" alignment for gas-fuelled ships — expected eff. 1 Jul 2028, pending MSC 112 adoption (Dec 2026). CE Oral Tip: Nair will test whether you know it's now past the 2026 entry-into-force date and can quote at least two MSC resolution numbers verbatim — PF",Give a consolidated overview of SOLAS and MARPOL amendments entering into force from 2024 through 2028.
QB10_B#q1,/meoclass1/QB10_B.html#q1,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"date and can quote at least two MSC resolution numbers verbatim — PFOS ban (MSC.532(107)) and the fire safety upgrade (MSC.550(108)) are the two he asks most. Simon will pivot straight to what applies to YOUR ship: as a container vessel ≥3,000 GT, lead with the electronic inclinometer requirement (S",Give a consolidated overview of SOLAS and MARPOL amendments entering into force from 2024 through 2028.
QB10_B#q2,/meoclass1/QB10_B.html#q2,Nair,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"ft guidelines Generic alternative-fuel training base (MSC 110); methanol/ethanol & ammonia draft interim guidelines sent to MSC 111 (May 2026). CE Oral Tip: If Nair or Senthil asks ""what's new in STCW,"" lead with SASH — it's the one that's actually in force and testable right now. If pressed on ""wha","What STCW amendments are currently in force or coming, and why were they introduced?"
QB10_B#q2,/meoclass1/QB10_B.html#q2,Senthil,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"lines Generic alternative-fuel training base (MSC 110); methanol/ethanol & ammonia draft interim guidelines sent to MSC 111 (May 2026). CE Oral Tip: If Nair or Senthil asks ""what's new in STCW,"" lead with SASH — it's the one that's actually in force and testable right now. If pressed on ""what's comi","What STCW amendments are currently in force or coming, and why were they introduced?"
QB10_B#q3,/meoclass1/QB10_B.html#q3,Srivastava,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,n clarifications. Joint ILO/IMO Tripartite Working Group Body coordinating seafarer welfare/harassment provisions across MLC and STCW in parallel. CE Oral Tip: Srivastava and Senthil both like MLC because it crosses into welfare and ISM territory. Anchor your answer on the December 2024 / December 2,"What amendments to the MLC 2006 are in force or coming, and what problem does each one solve?"
QB10_B#q3,/meoclass1/QB10_B.html#q3,Senthil,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,s. Joint ILO/IMO Tripartite Working Group Body coordinating seafarer welfare/harassment provisions across MLC and STCW in parallel. CE Oral Tip: Srivastava and Senthil both like MLC because it crosses into welfare and ISM territory. Anchor your answer on the December 2024 / December 2027 date split ,"What amendments to the MLC 2006 are in force or coming, and what problem does each one solve?"
QB10_B#q4,/meoclass1/QB10_B.html#q4,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"ry eff. 1 Jan 2026. IMO GISIS database Central reporting point for confirmed container-loss incidents, alongside SOLAS V/31-32 notification chain. CE Oral Tip: Simon will expect you to connect the inclinometer requirement to your own vessel type immediately, without prompting — since you sail on Mae",Which of the recent/upcoming amendments apply specifically to container ships — and why does a boxship get singled out?
QB10_B#q6,/meoclass1/QB10_B.html#q6,Rajappan,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"ty-monitoring rationale. 2011 ESP Code amendment Remote Inspection Techniques for close-up surveys, bulk carriers & oil tankers — eff. 1 Jan 2028. CE Oral Tip: Rajappan will almost certainly ask you to name the casualty behind the inclinometer rule — say ""Jupiter, bauxite cargo shift"" immediately an",Which recent/upcoming amendments apply specifically to bulk carriers?
QB10_B#q7,/meoclass1/QB10_B.html#q7,Nair,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"f. 1 Sep 2027) separately from NZF. MEPC 85 / ES.2 resumption 30 Nov–4 Dec 2026 — next decision point on NZF adoption; earliest EIF 1 Mar 2028. CE Oral Tip: If Nair asks ""when does the Net-Zero Framework come into force,"" the honest, correct answer is that it hasn't been adopted yet — give the Decem","What is the current status of the IMO Net-Zero Framework, and what happened with the North-East Atlantic ECA?"
QB10_B#q8,/meoclass1/QB10_B.html#q8,Nair,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"n of DGMA advisories responding to the elevated ship security situation around the Strait of Hormuz through 2026. Why This Section Exists Kochi MMD examiners — Nair, Simon, Rajappan, Senthil, Srivastava — routinely blend IMO convention knowledge with awareness of current domestic DGS instruments. A ",What recent DG Shipping/DGMA (India) circulars should an Indian MEO Class 1 candidate know?
QB10_B#q8,/meoclass1/QB10_B.html#q8,Simon,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"GMA advisories responding to the elevated ship security situation around the Strait of Hormuz through 2026. Why This Section Exists Kochi MMD examiners — Nair, Simon, Rajappan, Senthil, Srivastava — routinely blend IMO convention knowledge with awareness of current domestic DGS instruments. A candid",What recent DG Shipping/DGMA (India) circulars should an Indian MEO Class 1 candidate know?
QB10_B#q8,/meoclass1/QB10_B.html#q8,Rajappan,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"isories responding to the elevated ship security situation around the Strait of Hormuz through 2026. Why This Section Exists Kochi MMD examiners — Nair, Simon, Rajappan, Senthil, Srivastava — routinely blend IMO convention knowledge with awareness of current domestic DGS instruments. A candidate who",What recent DG Shipping/DGMA (India) circulars should an Indian MEO Class 1 candidate know?
QB10_B#q8,/meoclass1/QB10_B.html#q8,Srivastava,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"to the elevated ship security situation around the Strait of Hormuz through 2026. Why This Section Exists Kochi MMD examiners — Nair, Simon, Rajappan, Senthil, Srivastava — routinely blend IMO convention knowledge with awareness of current domestic DGS instruments. A candidate who can quote IMO reso",What recent DG Shipping/DGMA (India) circulars should an Indian MEO Class 1 candidate know?
QB10_B#q8,/meoclass1/QB10_B.html#q8,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"sponding to the elevated ship security situation around the Strait of Hormuz through 2026. Why This Section Exists Kochi MMD examiners — Nair, Simon, Rajappan, Senthil, Srivastava — routinely blend IMO convention knowledge with awareness of current domestic DGS instruments. A candidate who can quote",What recent DG Shipping/DGMA (India) circulars should an Indian MEO Class 1 candidate know?
QB1_B#q1,/meoclass1/QB1_B.html#q1,Rajappan,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"OL Annex II/III / General Definitions of hazardous substances and noxious liquid substances in bulk/packages. CE Oral Tip: Kochi MMD surveyors (especially Nair/Rajappan) love to trap candidates on whether a container vessel faces HNS liability. Answer clearly: ""Yes, sir, for packaged dangerous goods","Explain the HNS Convention — to whom does it apply, when does it enter into force, and until then what is the liability/compensation fallback (LLMC limits)?"
QB1_B#q12,/meoclass1/QB1_B.html#q12,Simon,True,True,True,False,SUPPORTED_ILLUSTRATIVE_CE_TIP,False,"s. Supplementary Protocol / Article 4 Escalates the compensation ceiling to 750M SDR via the Tier 3 global asset pool. CE Oral Tip: When an examiner like Capt. Simon asks: ""Why do we need a Fund Convention if the shipowner already pays under the CLC?"" Answer like an expert: ""Sir, the CLC cap is base",Explain civil liability in the context of the CLC and the Fund Convention — how do they work together for oil pollution compensation?
QB1_B#q5,/meoclass1/QB1_B.html#q5,Nair,True,False,True,False,SUPPORTED_ILLUSTRATIVE_CE_TIP,False,"h CSR entries. ISPS Code / Part A, Section 19 Verification requirements for ship certification that depend on valid CSR data. CE Oral Tip: Examiners like Capt. Nair often trap candidates by asking: ""If your ship changes flag tomorrow in the middle of the ocean, can you throw away the old CSR sheets?",What is a Continuous Synopsis Record (CSR) and what types/categories of CSR entries exist?
QB1_B#q7,/meoclass1/QB1_B.html#q7,Nair,True,True,True,False,SUPPORTED_ILLUSTRATIVE_CE_TIP,False,"13 Specific provisions allowing the Administration to entrust load line assignments to recognized technical bodies. CE Oral Tip: Kochi MMD examiners like Capt. Nair will ask: ""What is the difference between a Classification Society and an RO?"" Answer clearly: ""Sir, a Classification Society is a priv",What criteria must an organisation meet to become a Recognised Organisation (RO) under IMO/Flag State delegation?
QB1_B#q8,/meoclass1/QB1_B.html#q8,Rajappan,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"2014 Financial Security Mandatory P&I/financial insurance covering crew abandonment and contractual claims. CE Oral Tip: Kochi MMD surveyors (especially Capt. Rajappan/Simon) love to ask: ""Can a shipowner hire crew through an un-licensed manning office?"" Your answer: ""No, sir. Under MLC 2006 Regulat",How are MLC 2006 and RPSL (Recruitment and Placement Service Licence) related with respect to seafarer welfare and recruitment?
QB1_B#q21,/meoclass1/QB1_B.html#q21,Nair,True,True,True,False,SUPPORTED_ILLUSTRATIVE_CE_TIP,False,"n 4.3 Health and safety protection rules that incorporate the elimination of shipboard workplace harassment. CE Oral Tip: If an examiner like Capt. Rajappan or Nair asks: ""What is the IMO doing about gender equality, and how does it affect you as a Chief Engineer?"" Answer like a modern manager: ""Sir",What initiatives is IMO undertaking with respect to gender equality in the maritime industry?
QB1_C#q1,/meoclass1/QB1_C.html#q1,Nair,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"nd heavy weather rolling, water ingress quickly extinguished the remaining positive area under the GZ curve, leading to a rapid capsize. Examiner Chain Simon → Nair → Senthil. Simon starts with basic definitions (Reserve Buoyancy), Nair shifts to damage conditions (hole in the side hull, engine room",Reserve buoyancy and the GZ curve?
QB1_C#q1,/meoclass1/QB1_C.html#q1,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"y weather rolling, water ingress quickly extinguished the remaining positive area under the GZ curve, leading to a rapid capsize. Examiner Chain Simon → Nair → Senthil. Simon starts with basic definitions (Reserve Buoyancy), Nair shifts to damage conditions (hole in the side hull, engine room floodi",Reserve buoyancy and the GZ curve?
QB1_C#q2,/meoclass1/QB1_C.html#q2,Nair,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"surface effects during the sequence left the vessel completely unable to resist dynamic wind forces, causing a massive list. Examiner Chain Simon → Rajappan → Nair. Simon establishes the fundamental physics (Static vs Dynamic), Rajappan links it to tanker cargo sloshing and free surface corrections ",Static vs dynamic stability?
QB1_C#q2,/meoclass1/QB1_C.html#q2,Rajappan,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"due to free surface effects during the sequence left the vessel completely unable to resist dynamic wind forces, causing a massive list. Examiner Chain Simon → Rajappan → Nair. Simon establishes the fundamental physics (Static vs Dynamic), Rajappan links it to tanker cargo sloshing and free surface ",Static vs dynamic stability?
QB1_C#q3,/meoclass1/QB1_C.html#q3,Nair,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"vely stiff condition. The severe acceleration forces sheared the cargo securing points during heavy weather, which caused a sudden list. Examiner Chain Simon → Nair → Senthil. Simon starts on the theoretical definitions of GM and stiffness. Nair shifts to the structural consequences (cracking in fra",Tender vs stiff ship — problems of excessive stiffness?
QB1_C#q3,/meoclass1/QB1_C.html#q3,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"iff condition. The severe acceleration forces sheared the cargo securing points during heavy weather, which caused a sudden list. Examiner Chain Simon → Nair → Senthil. Simon starts on the theoretical definitions of GM and stiffness. Nair shifts to the structural consequences (cracking in frame brac",Tender vs stiff ship — problems of excessive stiffness?
QB1_C#q4,/meoclass1/QB1_C.html#q4,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"ns. Enhanced Survey Programme (ESP Code) Dictates close-up inspection of highly stressed brackets and knees in tankers and bulkers. CE Oral Tip (Kochi MMD): If Simon asks about knees, clearly sketch a basic triangular bracket connecting a horizontal deck beam to a vertical frame. Point to the open e",Structural knee — function and locations?
QB1_C#q4,/meoclass1/QB1_C.html#q4,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"rom the inner bottom. Under severe dynamic wave loading, this caused sudden shell plating failure and catastrophic hold flooding. Examiner Chain Simon → Nair → Senthil. Simon establishes the identification and role of the structural knee. Nair shifts to the inspection and repair protocol (welding cr",Structural knee — function and locations?
QB1_C#q5,/meoclass1/QB1_C.html#q5,Simon,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,lling period shifts. Modern electronic inclinometers now feed live dynamic roll logs to prevent these structural over-stresses. Examiner Chain Nair → Senthil → Simon. Nair asks about the sensor technology and regulatory mandate; Senthil demands to know how the Chief Engineer signs off on the quarter,Electronic inclinometers — SOLAS mandate?
QB1_C#q5,/meoclass1/QB1_C.html#q5,Senthil,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,ametric rolling period shifts. Modern electronic inclinometers now feed live dynamic roll logs to prevent these structural over-stresses. Examiner Chain Nair → Senthil → Simon. Nair asks about the sensor technology and regulatory mandate; Senthil demands to know how the Chief Engineer signs off on t,Electronic inclinometers — SOLAS mandate?
QB1_C#q6,/meoclass1/QB1_C.html#q6,Nair,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"uctural fractures and failing to seek class attendance can lead to catastrophic, sudden hull failures under dynamic open-ocean stresses. Examiner Chain Simon → Nair → Srivastava. Simon tests the emergency stability and structural concepts; Nair focuses on the physical repair execution (scantling pre",Hull hole found — CE actions and Condition of Class?
QB1_C#q6,/meoclass1/QB1_C.html#q6,Srivastava,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"fractures and failing to seek class attendance can lead to catastrophic, sudden hull failures under dynamic open-ocean stresses. Examiner Chain Simon → Nair → Srivastava. Simon tests the emergency stability and structural concepts; Nair focuses on the physical repair execution (scantling preparation",Hull hole found — CE actions and Condition of Class?
QB1_C#q7,/meoclass1/QB1_C.html#q7,Simon,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"ction of structural buckling or deformation, combined with proper reporting, is the only barrier against catastrophic structural failure. Examiner Chain Nair → Simon → Srivastava. Nair triggers the question focused on tanker or bulker structural damage and reporting; Simon intercepts to ask how this",Structural damage — assessment and reporting?
QB1_C#q7,/meoclass1/QB1_C.html#q7,Srivastava,False,True,False,False,WEAK_INCIDENTAL_MENTION,False,"structural buckling or deformation, combined with proper reporting, is the only barrier against catastrophic structural failure. Examiner Chain Nair → Simon → Srivastava. Nair triggers the question focused on tanker or bulker structural damage and reporting; Simon intercepts to ask how this damage a",Structural damage — assessment and reporting?
QB1_F#q3,/meoclass1/QB1_F.html#q3,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"tion (International Convention for Safe Containers) Governs the container's own tare mass declared on the Safety Approval Plate, used in Method 2. CE Oral Tip (Simon): Kochi MMD Focus (Examiner Simon): Examiner Simon expects you to state clearly that the shipper — not the carrier — carries the VGM o","VGM (Verified Gross Mass) — who issues, who verifies, where it is mentioned, and the two methods of determination"
QB1_H#q2,/meoclass1/QB1_H.html#q2,Simon,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"odical verification IMO Res. A.1118(30) Revised Guidelines on Implementation of the ISM Code IMO RO Code Requirements for Recognized Organisations CE Oral Tip: Simon and Nair both probe the NC/MNC distinction. Use the word ""downgrade"" precisely for how an MNC is cleared before sailing, and state bot",What is IACS Procedural Requirement (PR) 9 and how does it standardise ISM Code certification?
QB1_H#q3,/meoclass1/QB1_H.html#q3,Simon,True,True,False,False,STRONG_CE_TIP_ASSERTION,False,"LAS Chapter I General provisions — statutory basis UIs typically clarify IMO RO Code Framework for Recognized Organisations acting for Flag States CE Oral Tip: Simon wants three crisp, distinct definitions — never blended. Prepare exactly one example each: UR M (machinery), PR 9 (ISM audits), UI SC ","Differentiate between an IACS Unified Requirement (UR), Procedural Requirement (PR), and Unified Interpretation (UI)."
QB1_I#q1,/meoclass1/QB1_I.html#q1,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"1 What is the ESP Code, in full? survey iacs Examiner: Nair 15-Second Answer The ESP Code is the International Code on the Enhanced Programme of Inspections during Surveys of Bulk Carriers and Oil Tankers, 2011 — IMO Res A.1049(27), mandatory under SOLAS","What is the ESP Code, in full?"
QB1_I#q2,/meoclass1/QB1_I.html#q2,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"2 How will you register a second-hand ship acquisition in India? maritime law ship registration dgs order compliance Examiner: Nair 15-Second Answer Registering a second-hand vessel in India involves obtaining a Bill of Sale, securing an absolute release from the foreign registry, and ensuring the v",How will you register a second-hand ship acquisition in India?
QB1_I#q3,/meoclass1/QB1_I.html#q3,Simon,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"3 Relation between DWT, NT, GT and lightweight — how are they related? naval architecture ship stability tonnage displacement Examiner: Simon 15-Second Answer Displacement represents the total weight of the ship, which is mathematically the sum of its Lightweight and Deadweight (DWT). Conversely, Gr","Relation between DWT, NT, GT and lightweight — how are they related?"
QB1_I#q4,/meoclass1/QB1_I.html#q4,Simon,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,4 Anniversary date of a certificate — how is it defined and used? certificates survey solas hssc Examiner: Simon 15-Second Answer The anniversary date is defined as the day and month of each year corresponding to the expiry date of the relevant permanent International Statutory Certificate. It estab,Anniversary date of a certificate — how is it defined and used?
QB1_I#q5,/meoclass1/QB1_I.html#q5,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,"5 Explain any renewal survey in detail as Chief Engineer. survey safety construction renewal compliance Examiner: Nair 15-Second Answer A renewal survey is a comprehensive statutory audit conducted every five years to verify that the vessel's hull, machinery, and critical safety systems fully comply",Explain any renewal survey in detail as Chief Engineer.
QB1_I#q6,/meoclass1/QB1_I.html#q6,Nair,True,False,False,False,SUPPORTED_CE_TIP_MENTION,False,6 IACS — what are its functions? class iacs international standards compliance Examiner: Nair 15-Second Answer The International Association of Classification Societies (IACS) acts as a technical advisory body that harmonizes the rules and standards established by its member societies. It,IACS — what are its functions?
QB1_supplementary#q4,/meoclass1/QB1_supplementary.html#q4,Paul,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"agement is an overdue or uncredited item surfacing as a PSC deficiency or class condition of class, not a specific named casualty. 🔗 Examiner Chain (Kochi MMD) Paul: CMS vs Special Survey → items you're authorised to credit → what's excluded → what's currently overdue on your ship. 🚢 On My Vessel (M",Explain the CMS (Continuous Machinery Survey) scope. What can the CE survey? What must class surveyors survey? What is NOT covered by CMS?
QB1_supplementary#q7,/meoclass1/QB1_supplementary.html#q7,Simon,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"ompliance/enforcement risk, not a safety-of-life one. 🔗 Examiner Chain (Kochi MMD) Nair: NTF purpose → Tier applicability → EIAPP cross-check → NECA operation. Simon: engine cycle data → what settings are locked → consequence of unauthorised adjustment. 🚢 On My Vessel (Maersk Container) Confirm your","NOx Technical File — what is it, what does it contain, and what does the surveyor check?"
QB1_supplementary#q8,/meoclass1/QB1_supplementary.html#q8,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,e) trace back directly to the systems SAFCON is designed to verify. 🔗 Examiner Chain (Kochi MMD) Nair: certificate name → issuing regulation → survey interval. Senthil: ER fire safety items → CO2 system checks → emergency shutdown testing. 🚢 On My Vessel (Maersk Container) Know the location and remo,What is a SAFCON (Safety Construction) Survey? What does the surveyor check in the engine room?
QB1_supplementary#q16,/meoclass1/QB1_supplementary.html#q16,Senthil,False,False,False,False,WEAK_INCIDENTAL_MENTION,False,"highlights why clear, accessible damage control information and closure status awareness are safety-critical, not administrative. 🔗 Examiner Chain (Kochi MMD) Senthil: where the plan is kept → response to a continuous cargo hold bilge alarm → cross-referencing the booklet for cross-flooding. 🚢 On My","Contents of the Damage Control Plan. What must it contain per SOLAS, and where must it be kept?"
QB1_supplementary#q19,/meoclass1/QB1_supplementary.html#q19,Simon,False,False,False,True,WEAK_COMPARATIVE_MENTION,False,ficiency indicator; its practical consequence is excess fuel consumption and engine overload risk rather than a specific casualty. 🔗 Examiner Chain (Kochi MMD) Simon: define pitch and slip mathematically → why zero slip is impossible in real water → link high slip to exhaust thermal limits and fuel ,What is Propeller Blade Pitch Ratio (P/D)? Effect on efficiency and what is positive slip?
QB1_supplementary#q20,/meoclass1/QB1_supplementary.html#q20,Paul,False,False,False,True,WEAK_COMPARATIVE_MENTION,False,"il shaft survey is undetected fatigue cracking, which risks catastrophic shaft failure at sea rather than a single named incident. 🔗 Examiner Chain (Kochi MMD) Paul: poker gauge reading procedure → wear-down checks → action if the aft seal leaks oil to sea → requirements for an extended condition-mo","Tail Shaft Survey — what is it, when is it due, and what is the complete procedure?"
