canonical_question_id,classification,evidence_count,evidence_ids,examiner,question_text,url
QB1_I#q2,READY_CONNECTION,1,MASTER-AQ-0535,Nair,How will you register a second-hand ship acquisition in India?,/meoclass1/QB1_I.html#q2
QB1_I#q5,READY_CONNECTION,1,MASTER-AQ-0550,Nair,Explain any renewal survey in detail as Chief Engineer.,/meoclass1/QB1_I.html#q5
QB1_I#q6,READY_CONNECTION,1,MASTER-AQ-0555,Nair,IACS — what are its functions?,/meoclass1/QB1_I.html#q6
QB1_K#q5,READY_CONNECTION,1,JULY-NEW-109,Nair,Difference between DP-1 and DP-2.,/meoclass1/QB1_K.html#q5
QB2_F#q2,READY_CONNECTION,1,MASTER-AQ-0155,Nair,A container catches fire and the UN number shows different EmS symptoms — how do you approach and fight it?,/meoclass1/QB2_F.html#q2
QB2_F#q4,READY_CONNECTION,1,MASTER-AQ-0405,Nair,A fire breaks out in an undeclared dangerous goods container — how will you fight it?,/meoclass1/QB2_F.html#q4
QB2_F#q5,READY_CONNECTION,1,MASTER-AQ-0412,Nair,"Explain the water mist lance and mobile water monitor: how to use them, on which fires, where the requirement is mentioned, and the functional requirements.",/meoclass1/QB2_F.html#q5
QB3_H#q6,READY_CONNECTION,1,MASTER-AQ-0558,Nair,MARPOL Annex II — contents and certificates required?,/meoclass1/QB3_H.html#q6
QB5_G#q1,READY_CONNECTION,1,MASTER-AQ-0152,Nair,Alternate fuels .. transition .. what in your opinion is a long term alternative solution.?,/meoclass1/QB5_G.html#q1
QB5_G#q3,READY_CONNECTION,1,MASTER-AQ-0271,Nair,Dri cargo hazards,/meoclass1/QB5_G.html#q3
QB9_H#q9,READY_CONNECTION,1,JULY-NEW-123,Nair,What is a Contract of Affreightment?,/meoclass1/QB9_H.html#q9
QB1_A#q8,READY_CONNECTION,1,JULY-NEW-103,Paul,Maritime Lien — Explain.,/meoclass1/QB1_A.html#q8
QB1_F#q14,READY_CONNECTION,1,JULY-NEW-094,Paul,Types of survey and what is CSM survey,/meoclass1/QB1_F.html#q14
QB4_G#q8,READY_CONNECTION,1,MASTER-AQ-0468,Paul,Which statutory certificate does not need renewal/survey other than AFS certificate?,/meoclass1/QB4_G.html#q8
QB4_J#q7,READY_CONNECTION,1,JULY-NEW-090,Paul,Difference between ISM survey and ISM audit.,/meoclass1/QB4_J.html#q7
QB1_A#q9,READY_CONNECTION,1,MASTER-AQ-0133,Rajappan,General Average — Explain including act and procedure followed.,/meoclass1/QB1_A.html#q9
QB3_B#q19,READY_CONNECTION,1,MASTER-AQ-0349,Rajappan,"What does GESAMP stand for, and what is its role in the maritime context?",/meoclass1/QB3_B.html#q19
QB3_H#q3,READY_CONNECTION,1,MASTER-AQ-0119,Rajappan,How do you test the high and low-low level alarms on the Inert Gas system?,/meoclass1/QB3_H.html#q3
QB5_B#q10,READY_CONNECTION,1,MASTER-AQ-0127,Rajappan,"PID Controller — What Is It, Where Used Onboard, How to Tune and Adjust.",/meoclass1/QB5_B.html#q10
QB5_B#q15,READY_CONNECTION,1,MASTER-AQ-0161,Rajappan,Risk Assessment and PTW for Operating a Portable Framo Submersible Cargo Pump.,/meoclass1/QB5_B.html#q15
QB5_G#q2,READY_CONNECTION,1,MASTER-AQ-0167,Rajappan,How to carry out risk assessment and permit for portable framo pump,/meoclass1/QB5_G.html#q2
QB5_G#q4,READY_CONNECTION,1,MASTER-AQ-0372,Rajappan,As CE how will you take decisions onboard? What framework do you use?,/meoclass1/QB5_G.html#q4
