canonical_question_id,defect_class,evidence_id,examiner,legacy_claimed_text,legacy_confidence,live_question,source_vs_live,source_wording
QB9_A#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0001,Nair,Actions and precautions when your ship goes to a war risk area. What is vessel hardening? BMP5 measures. How do you motivate crew during a missile att,0.83,Actions and precautions when your ship goes to a war risk area. What is vessel hardening? BMP5 measures. How do you motivate crew during a missile att,0.294,Actions and precautions when your ship goes to war zone
QB5_B#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0002,Nair,Taking Over as CE — Procedure.,manual,Taking Over as CE — Procedure.,0.182,⁠Taking over a ship from other company what all checks you will carry out as CE
QB1_A#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0005,Nair,P&amp;I Club — What is Protection &amp; Indemnity? How does it differ from other marine insurance?,manual,P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,0.3,⁠P& I -what is protective and indemnity.. difference between other insurance.
QB1_F#q3,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0009,Nair,Vgr who issues and who verifies where it is mentioned and two types of checking vgr,High (100% fuzzy match),"VGM (Verified Gross Mass) — who issues, who verifies, where it is mentioned, and the two methods of determination",0.308,Vgr who issues and who verifies where it is mentioned and two types of checking vgr
QB1_A#q14,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0010,Nair,OPRC Convention — Full form and explanation.,High (86% fuzzy match),OPRC Convention — Full form and explanation.,0.231,"Csc convention full explanation, including testing and certification, type of containers and difference in testing  reefer containers"
QB2_B#q10,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0011,Nair,"What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on",0.8,"What are the latest SOLAS amendments regarding safety on container ships, specifically relating to portable water monitors — how many are required, on what basis is the number determined, and is a portable water monitor used for firefighting?",0.087,"New amendments related to container ship ,"
QB2_A#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0012,Nair,"Container tracking &mdash; who tracks them, for what purpose, and what technology is used including ISO 6346.",0.75,"Container tracking — who tracks them, for what purpose, and what technology is used including ISO 6346.",0.25,Containers tracking how they track who tracks for what purpose
QB2_B#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0017,Nair,What documents and certificates are required when carrying IMDG cargo? Where do you find firefighting details for IMDG cargo?,manual,What documents and certificates are required when carrying IMDG cargo? Where do you find firefighting details for IMDG cargo?,0.25,Imdg cargo in detail docs and certificates related to imdg
QB2_A#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0019,Nair,"IMDG Code &mdash; documents, certificates, marking, labelling, UN numbers, segregation codes, and latest amendments.",manual,"IMDG Code — documents, certificates, marking, labelling, UN numbers, segregation codes, and latest amendments.",0.077,Marking and labeling and number
QB2_B#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0020,Nair,"QB2_B - Q4 - GIVE AN OVERVIEW OF THE IMDG CODE - ITS STRUCTURE, CLASSES, AND KEY FEATURES.",,"Give an overview of the IMDG Code — its structure, classes, and key features.",0.286,IMDG code
QB1_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0023,Nair,HNS Convention — For whom does it apply? Is it in force? What is the HNS Protocol and HNS Fund?,manual,HNS Convention — For whom does it apply? Is it in force? What is the HNS Protocol and HNS Fund?,0.182,"HNS convention for whom it applies  and is it in force or not , if HNS pollution happens in US waters what is the next steps and actions who is liable and who covers the remaining since the convention is not yet in force, what is LLMC and limits"
QB8_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0025,Senthil,IMDG DG cargo documents?,0.73,IMDG DG cargo documents?,0.0,Shat power limitation why we use who authorise it what is the purpose of it
