canonical_question_id,examiner,current_tier,disposition,corroborating_source_ids,note
QB10_A#q1,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB10_A#q2,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB10_A#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB10_A#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB10_A#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_C#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q3,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q4,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_H#q5,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q1,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0481,the external compilation reports this examiner asking this question
QB1_supplementary#q10,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q11,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q12,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q13,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q14,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q15,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
QB1_supplementary#q16,Nair,inferred,PROMOTED_BY_EVIDENCE,ASC-0684,the external compilation reports this examiner asking this question
QB1_supplementary#q17,Nair,inferred,STILL_INFERRED,,no external occurrence reaches this question for this examiner; absence of evidence is not contradiction
