row_index,examiner_slug,examiner_raw,tier,href,target_file,target_anchor,canonical_question_id,file_exists,anchor_exists,resolves_to_live_question,display_text,live_question_text,text_similarity,status,duplicate_pair
0,nair,Nair,confirmed,/meoclass1/QB1_A.html#q1,QB1_A.html,q1,QB1_A#q1,True,True,True,P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,1.0,OK,False
1,nair,Nair,confirmed,/meoclass1/QB1_A.html#q6,QB1_A.html,q6,QB1_A#q6,True,True,True,HNS Convention — For whom does it apply? Is it in force? What is the HNS Protocol and HNS Fund?,HNS Convention — For whom does it apply? Is it in force? What is the HNS Protocol and HNS Fund?,1.0,OK,False
2,nair,Nair,confirmed,/meoclass1/QB1_A.html#q11,QB1_A.html,q11,QB1_A#q11,True,True,True,Salvage and SCOPIC — Different types of salvage. What is SCOPIC?,Salvage and SCOPIC — Different types of salvage. What is SCOPIC?,1.0,OK,False
3,nair,Nair,confirmed,/meoclass1/QB1_A.html#q14,QB1_A.html,q14,QB1_A#q14,True,True,True,OPRC Convention — Full form and explanation.,OPRC Convention — Full form and explanation.,1.0,OK,False
4,nair,Nair,confirmed,/meoclass1/QB1_A.html#q19,QB1_A.html,q19,QB1_A#q19,True,True,True,UNCLOS — Under which provision does your ship sail? EEZ and Continental Shelf explained.,UNCLOS — Under which provision does your ship sail? EEZ and Continental Shelf explained.,1.0,OK,False
5,nair,Nair,confirmed,/meoclass1/QB1_A.html#q24,QB1_A.html,q24,QB1_A#q24,True,True,True,Casualty Investigation Code — Why? How to report? Human elements to consider.,Casualty Investigation Code — Why? How to report? Human elements to consider.,1.0,OK,False
6,nair,Nair,confirmed,/meoclass1/QB1_A.html#q25,QB1_A.html,q25,QB1_A#q25,True,True,True,Fair Treatment of Seafarers — Where is it mentioned?,Fair Treatment of Seafarers — Where is it mentioned?,1.0,OK,False
7,nair,Nair,confirmed,/meoclass1/QB1_A.html#q27,QB1_A.html,q27,QB1_A#q27,True,True,True,Hague-Visby Rules — Explain.,Hague-Visby Rules — Explain.,1.0,OK,False
8,nair,Nair,confirmed,/meoclass1/QB1_B.html#q2,QB1_B.html,q2,QB1_B#q2,True,True,True,"What is the purpose of the P&A (Procedures and Arrangements) Manual, and who issues it?","What is the purpose of the P&A (Procedures and Arrangements) Manual, and who issues it?",1.0,OK,False
9,nair,Nair,confirmed,/meoclass1/QB1_B.html#q3,QB1_B.html,q3,QB1_B#q3,True,True,True,"Give an overview of Admiralty Law as it applies to a ship — cover Maritime Lien, Tort, and Statutory Liability","Give an overview of Admiralty Law as it applies to a ship — cover Maritime Lien, Tort, and Statutory Liability",1.0,OK,False
10,nair,Nair,confirmed,/meoclass1/QB1_B.html#q13,QB1_B.html,q13,QB1_B#q13,True,True,True,"What is marine insurance, and how does P&I Club cover differ from other forms of insurance?","What is marine insurance, and how does P&I Club cover differ from other forms of insurance?",1.0,OK,False
11,nair,Nair,confirmed,/meoclass1/QB1_B.html#q17,QB1_B.html,q17,QB1_B#q17,True,True,True,"What type of charter party governs your vessel, and how does the shipowner represent the ship to maximise charter opportunities?","What type of charter party governs your vessel, and how does the shipowner represent the ship to maximise charter opportunities?",1.0,OK,False
12,nair,Nair,confirmed,/meoclass1/QB1_C.html#q5,QB1_C.html,q5,QB1_C#q5,True,True,True,Electronic inclinometers — SOLAS mandate?,Electronic inclinometers — SOLAS mandate?,1.0,OK,False
13,nair,Nair,confirmed,/meoclass1/QB1_C.html#q7,QB1_C.html,q7,QB1_C#q7,True,True,True,Structural damage — assessment and reporting?,Structural damage — assessment and reporting?,1.0,OK,False
