examiner,tier,canonical_question_id,examiner_named_in_qcard,examiner_named_in_ce_tip,examiner_named_in_page_preamble,reproducible_from_repo
Nair,confirmed,QB1_A#q1,True,True,True,True
Nair,confirmed,QB1_A#q6,True,True,True,True
Nair,confirmed,QB1_A#q11,True,True,True,True
Nair,confirmed,QB1_A#q14,True,True,True,True
Nair,confirmed,QB1_A#q19,True,True,True,True
Nair,confirmed,QB1_A#q24,True,True,True,True
Nair,confirmed,QB1_A#q25,True,True,True,True
Nair,confirmed,QB1_A#q27,True,True,True,True
Nair,confirmed,QB1_B#q1,True,True,True,True
Nair,confirmed,QB1_B#q2,False,False,True,True
Nair,confirmed,QB1_B#q3,True,True,True,True
Nair,confirmed,QB1_B#q13,True,True,True,True
Nair,confirmed,QB1_B#q17,True,True,True,True
Nair,confirmed,QB1_C#q5,True,True,True,True
Nair,confirmed,QB1_C#q7,True,True,True,True
Nair,confirmed,QB1_F#q1,True,True,False,True
Nair,confirmed,QB1_F#q3,False,False,False,False
Nair,confirmed,QB1_F#q5,True,True,False,True
Nair,confirmed,QB1_F#q7,True,True,False,True
Nair,confirmed,QB1_F#q8,True,True,False,True
Nair,confirmed,QB1_F#q9,True,True,False,True
Nair,confirmed,QB1_F#q10,True,True,False,True
Nair,confirmed,QB1_F#q12,True,True,False,True
Nair,confirmed,QB1_F#q17,True,True,False,True
Nair,confirmed,QB1_F#q18,True,True,False,True
Nair,confirmed,QB1_G#q25,True,True,False,True
Nair,confirmed,QB1_G#q26,True,True,False,True
Nair,confirmed,QB1_G#q30,True,True,False,True
Nair,confirmed,QB1_G#q33,True,True,False,True
Nair,confirmed,QB1_G#q34,True,True,False,True
Nair,confirmed,QB1_G#q40,True,True,False,True
Nair,confirmed,QB1_supplementary#q4,False,False,False,False
Nair,confirmed,QB1_supplementary#q6,True,False,False,True
Nair,confirmed,QB2_A#q4,True,False,True,True
Nair,confirmed,QB2_A#q5,True,True,True,True
Nair,confirmed,QB2_A#q9,True,False,True,True
Nair,confirmed,QB2_B#q1,True,False,True,True
Nair,confirmed,QB2_B#q2,True,False,True,True
